month;net_generation_mwh
2022-09-01;742.877
2022-10-01;706.18
2023-01-01;756.472
2023-03-01;763.567
2024-02-01;687.046
2024-06-01;748.364
2024-07-01;742.795
2024-12-01;724.702
2025-01-01;460.602
2025-03-01;575.558
2025-05-01;765.614
2025-06-01;690.459
2025-08-01;787.421
2025-10-01;770.218
2025-11-01;144.071
2023-02-01;653.578
2023-06-01;725.62
2023-08-01;772.02
2023-09-01;703.663
2023-10-01;759.196
2024-03-01;768.697
2024-04-01;758.329
2024-08-01;769.879
2024-09-01;700.24
2024-11-01;718.312
2025-04-01;683.561
2025-07-01;781.642
2022-11-01;719.338
2022-12-01;769.969
2023-04-01;761.173
2023-05-01;763.809
2023-07-01;773.352
2023-11-01;729.708
2023-12-01;736.722
2024-01-01;747.814
2024-05-01;753.178
2024-10-01;727.775
2025-02-01;393.63
2025-09-01;704.638
