financial_year;program;count;note;pos_count
2019-20;Tree Removal;-562;;562
2020-21;Tree Removal;-1372;;1372
2020-21;Revegetation;4000;;4000
2021-22;Street & Park Trees;227;;227
2021-22;Tree Removal;-524;;524
2022-23;Tree Removal;-920;;920
2023-24;Native Plant Giveaway;15000;;15000
2023-24;Revegetation;4000;;4000
2025-26;Native Plant Giveaway;9455;as of Jan 26;9455
2019-20;Street & Park Trees;3865;;3865
2021-22;Native Plant Giveaway;12500;;12500
2021-22;Revegetation;4000;;4000
2022-23;Street & Park Trees;165;;165
2022-23;Native Plant Giveaway;14500;;14500
2022-23;Revegetation;4000;;4000
2023-24;Street & Park Trees;140;;140
2024-25;Tree Removal;-520;;520
2025-26;Revegetation;2150;as of Jan 26;2150
2019-20;Native Plant Giveaway;0;;0
2019-20;Revegetation;4750;;4750
2020-21;Street & Park Trees;4041;;4041
2020-21;Native Plant Giveaway;0;;0
2023-24;Tree Removal;-475;;475
2024-25;Street & Park Trees;874;;874
2024-25;Native Plant Giveaway;16877;;16877
2024-25;Revegetation;4750;;4750
2025-26;Street & Park Trees;544;as of Jan 26;544
2025-26;Tree Removal;-1332;as of Jan 26;1332
