category;fy;expenditure
Buildings;FY 2024/25;8150000
Buildings;FY 2022/23;9655000
Stormwater Drainage;FY 2023/24;2550000
Stormwater Drainage;FY 2021/22;278000
Public Lighting;FY 2020/21;8126000
Public Lighting;FY 2024/25;2016000
Public Lighting;FY 2021/22;390000
Plant and Equipment;FY 2022/23;2282000
Plant and Equipment;FY 2021/22;527000
Parks and Reserves;FY 2024/25;4626000
Parks and Reserves;FY 2022/23;4128000
Other Assets;FY 2023/24;199000
Other Assets;FY 2022/23;285000
Other Assets;FY 2021/22;120000
Waste Management Infrastructure;FY 2021/22;22684000
Other Assets;FY 2020/21;1290000
Land and Improvements;FY 2021/22;1865000
Stormwater Drainage;FY 2024/25;1038000
Stormwater Drainage;FY 2022/23;1234000
Transport;FY 2023/24;5982000
Transport;FY 2022/23;5673000
Transport;FY 2021/22;6973000
Pathways;FY 2023/24;1538000
Parks and Reserves;FY 2020/21;3513000
Stormwater Drainage;FY 2020/21;2981000
Pathways;FY 2020/21;2199000
Plant and Equipment;FY 2020/21;1715000
Buildings;FY 2023/24;18813000
Buildings;FY 2021/22;3243000
Transport;FY 2020/21;9450000
Waste Management Infrastructure;FY 2020/21;8180000
Transport;FY 2024/25;3587000
Pathways;FY 2024/25;1619000
Pathways;FY 2022/23;1754000
Pathways;FY 2021/22;659000
Public Lighting;FY 2023/24;772000
Public Lighting;FY 2022/23;1791000
Plant and Equipment;FY 2024/25;2302000
Plant and Equipment;FY 2023/24;1293000
Buildings;FY 2020/21;2357000
Parks and Reserves;FY 2023/24;2788000
Parks and Reserves;FY 2021/22;5043000
Other Assets;FY 2024/25;441000
Waste Management Infrastructure;FY 2024/25;370000
Waste Management Infrastructure;FY 2023/24;1488000
Waste Management Infrastructure;FY 2022/23;16759000
